"status_id","created_at","text","favorite_count","retweet_count","tag1","tag2","tag3","tag4","lang","lat","lng","stripped_text","sent_value","sentiment"
"1313127272828657667",2020-10-05,"are my schitt's creek oomfs active i wanna post my fancam",15,0,"NA",NA,NA,NA,"en",NA,NA,"are my schitts creek oomfs active i wanna post my fancam",1,"positive"
"1314274730749247488",2020-10-08,"@anniemvrphy @litcratis @ANNlEMURPHY schitt's creek is top priority around here yes",1,0,"NA",NA,NA,NA,"en",NA,NA,"anniemvrphy litcratis ANNlEMURPHY schitts creek is top priority around here yes",2,"positive"
"1314274417120141312",2020-10-08,"@anniemvrphy @litcratis @ANNlEMURPHY okay yeah watch schitt's creek first",2,0,"NA",NA,NA,NA,"en",NA,NA,"anniemvrphy litcratis ANNlEMURPHY okay yeah watch schitts creek first",1,"positive"
"1314646242882998277",2020-10-09,"i just moved to a new account and i’m looking for more mutuals!! retweet/follow me if you stan:
parks and rec
superstore
the office
veep
new girl
schitt’s creek
blackpink
also reply with which ones you stan if you want and i’ll follow some of you back",107,40,"NA",NA,NA,NA,"en",NA,NA,"i just moved to a new account and im looking for more mutuals retweetfollow me if you stanparks and recsuperstorethe officeveepnew girlschitts creekblackpinkalso reply with which ones you stan if you want and ill follow some of you back",-2,"negative"
"1313686040603955207",2020-10-07,"shit i forgot to start schitt’s creek tonight 😭 i’ll do it tomorrow morning",0,0,"NA",NA,NA,NA,"en",NA,NA,"shit i forgot to start schitts creek tonight  ill do it tomorrow morning",-7,"negative"
"1314375697088032769",2020-10-09,"schitt’s creek is actually so funny i’m only halfway through the first season but all of you should check it out",2,0,"NA",NA,NA,NA,"en",NA,NA,"schitts creek is actually so funny im only halfway through the first season but all of you should check it out",4,"positive"
"1313237797302657024",2020-10-05,"@cavalca Sobre matemática, acho que nem existe uma, mas a Netflix não deixar as séries crescerem dificulta o caso pra eles.

Pensa que Schitt's Creek provavelmente não teria chegado a 6 temporadas como original Netflix, que a Michaela Coel desistiu de vender I May Destroy You pra eles...",0,0,"NA",NA,NA,NA,"pt",NA,NA,"cavalca Sobre matemática acho que nem existe uma mas a Netflix não deixar as séries crescerem dificulta o caso pra elesPensa que Schitts Creek provavelmente não teria chegado a  temporadas como original Netflix que a Michaela Coel desistiu de vender I May Destroy You pra eles",-3,"negative"
"1313306075177910272",2020-10-06,"going from watching schitt’s creek tonight to watching beetlejuice is fun.",6,0,"NA",NA,NA,NA,"en",NA,NA,"going from watching schitts creek tonight to watching beetlejuice is fun",4,"positive"
"1315201488201764864",2020-10-11,"Schitt's Creek Inspired Graphic Tees $17.99 Shipped https://t.co/EO45jGsLCO https://t.co/3ODCjNmOkq",0,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek Inspired Graphic Tees  Shipped ",2,"positive"
"1314999849880780801",2020-10-10,"Schitt's Creek Inspired Graphic Tees  $17.99 Shipped https://t.co/q66BV3t4rI",0,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek Inspired Graphic Tees   Shipped ",2,"positive"
"1315125905514287104",2020-10-11,"Schitt's Creek Inspired Graphic Tees $17.99 Shipped https://t.co/juRZ9eyQiy https://t.co/J4w7KeOBWV",1,1,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek Inspired Graphic Tees  Shipped ",2,"positive"
"1312905412153311232",2020-10-05,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1314695898597859329",2020-10-09,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1313636417915047936",2020-10-07,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1314337283185750017",2020-10-08,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1313991254271815680",2020-10-07,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1313218666142609413",2020-10-05,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1315437031703678979",2020-10-11,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",0,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1315072131374383105",2020-10-10,"What's new on Netflix Canada in October. Featuring The Haunting of Bly Manor, Hubie Halloween, My Next Guest Needs No Introduction With David Letterman, season 6 of Schitt's Creek, &amp; more - https://t.co/pnES0BXlPH https://t.co/WCp9NZj3sv",1,0,"NA",NA,NA,NA,"en",NA,NA,"Whats new on Netflix Canada in October Featuring The Haunting of Bly Manor Hubie Halloween My Next Guest Needs No Introduction With David Letterman season  of Schitts Creek amp more  ",-1,"negative"
"1312958809858596864",2020-10-05,"I mean, it’s not a big deal, those things don’t make me dislike a show... obviously Schitt’s Creek is the love of my life and I’ll love it no matter how many musical performances there are",2,0,"NA",NA,NA,NA,"en",NA,NA,"I mean its not a big deal those things dont make me dislike a show obviously Schitts Creek is the love of my life and Ill love it no matter how many musical performances there are",3,"positive"
"1312936999339331599",2020-10-05,"It’s nice to see so many networks picking up Schitt’s Creek... Thinking about what Dan said about things taking time to be successful, and it really shows that things pay off in time",5,0,"NA",NA,NA,NA,"en",NA,NA,"Its nice to see so many networks picking up Schitts Creek Thinking about what Dan said about things taking time to be successful and it really shows that things pay off in time",5,"positive"
"1314384051365711873",2020-10-09,"I really hope Schitt’s Creek is only the beginning of more beautiful, soft and progressive tv",2,0,"NA",NA,NA,NA,"en",NA,NA,"I really hope Schitts Creek is only the beginning of more beautiful soft and progressive tv",5,"positive"
"1314677663995486208",2020-10-09,"Found out one of my coworkers loves Schitt’s Creek and I had to downplay my love for it so much bc I could just tell she thought I was insane",7,0,"NA",NA,NA,NA,"en",NA,NA,"Found out one of my coworkers loves Schitts Creek and I had to downplay my love for it so much bc I could just tell she thought I was insane",4,"positive"
"1315327013377519617",2020-10-11,"Even though I kind of knew I was gay my whole life, I never once, like, said it to myself until I started watching Schitt’s Creek and then joined the fandom. You lot really made it easy to just be myself and admit things to myself and not feel anything but comforted.",3,0,"NA",NA,NA,NA,"en",NA,NA,"Even though I kind of knew I was gay my whole life I never once like said it to myself until I started watching Schitts Creek and then joined the fandom You lot really made it easy to just be myself and admit things to myself and not feel anything but comforted",3,"positive"
"1315046936928555012",2020-10-10,"Terminei de assistir a maravilhosa Season 04 de Schitt's Creek, e sem dúvida a série já entrou no meu top 3, de séries de comédia favoritas",1,0,"NA",NA,NA,NA,"pt",NA,NA,"Terminei de assistir a maravilhosa Season  de Schitts Creek e sem dúvida a série já entrou no meu top  de séries de comédia favoritas",2,"positive"
"1313090764218474496",2020-10-05,"@ZenGrrrl47 Yep. Mine is low-dose Xanax but I may have to up it😄
I may have to take a break from news also. I mostly watch The Waltons and Schitt's Creek, but I needed to watch news this weekend to make sure Joe Biden was okay.
Anxiety is getting hard for my  doctor to control. Getting bad",1,0,"NA",NA,NA,NA,"en",NA,NA,"ZenGrrrl Yep Mine is lowdose Xanax but I may have to up itI may have to take a break from news also I mostly watch The Waltons and Schitts Creek but I needed to watch news this weekend to make sure Joe Biden was okayAnxiety is getting hard for my  doctor to control Getting bad",-4,"negative"
"1313296200515416064",2020-10-06,"@jpbrammer @imagin8ion Well I'm going to go with a line from Schitt's Creek. ""I'd kill for a good coma right now""",12,1,"NA",NA,NA,NA,"en",NA,NA,"jpbrammer imaginion Well Im going to go with a line from Schitts Creek Id kill for a good coma right now",-3,"negative"
"1312912519065939973",2020-10-05,"@euphoricdanvers @KristenBell Time to pay back for Schitt's Creek sweeping the Emmys 2 weeks ago.  The wrong departing comedy won.  TGP was eons better and one of the pillars of Peak TV. The Netflix Crutch helped Schitt's, clearly.",1,0,"NA",NA,NA,NA,"en",NA,NA,"euphoricdanvers KristenBell Time to pay back for Schitts Creek sweeping the Emmys  weeks ago  The wrong departing comedy won  TGP was eons better and one of the pillars of Peak TV The Netflix Crutch helped Schitts clearly",4,"positive"
"1313671280697073666",2020-10-07,"Schitt's Creek star/creator Dan Levy CALLS OUT Comedy Central India https://t.co/RyTe8YHh0Z https://t.co/2IsMuKgBev",0,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek starcreator Dan Levy CALLS OUT Comedy Central India ",1,"positive"
"1315389771091451904",2020-10-11,"Aqui estou eu chorando de novo com Schitt's Creek. Steve fazendo a Sally Bowles de Cabaret é GENIAL e me arrepiou inteira. E Schitt's Creek tinha mesmo que ganhar os prêmios tudo mesmo",0,0,"NA",NA,NA,NA,"pt",NA,NA,"Aqui estou eu chorando de novo com Schitts Creek Steve fazendo a Sally Bowles de Cabaret é GENIAL e me arrepiou inteira E Schitts Creek tinha mesmo que ganhar os prêmios tudo mesmo",3,"positive"
"1314737239314722816",2020-10-10,"guys i miss schitt’s creek so much",15,0,"NA",NA,NA,NA,"en",NA,NA,"guys i miss schitts creek so much",-2,"negative"
"1314774677068247040",2020-10-10,"i’m sure there’s a schitt’s creek joke here https://t.co/49xt6e28iy",12,0,"NA",NA,NA,NA,"en",NA,NA,"im sure theres a schitts creek joke here ",2,"positive"
"1313308086862442497",2020-10-06,"when i say schitt’s creek ruined my life this is what i mean",3,0,"NA",NA,NA,NA,"en",NA,NA,"when i say schitts creek ruined my life this is what i mean",-2,"negative"
"1313513577311956993",2020-10-06,"taylor swift + schitt’s creek aka my only interests https://t.co/HVg5tk7Y68",3,0,"NA",NA,NA,NA,"en",NA,NA,"taylor swift  schitts creek aka my only interests ",2,"positive"
"1315000484625698816",2020-10-10,"@apothefarley avskavdka i was gonna say something about schitt’s creek but i literally never shut up i need to stop",1,0,"NA",NA,NA,NA,"en",NA,NA,"apothefarley avskavdka i was gonna say something about schitts creek but i literally never shut up i need to stop",-1,"negative"
"1314432305176309762",2020-10-09,"now i only know schitt’s creek and taylor swift",7,0,"NA",NA,NA,NA,"en",NA,NA,"now i only know schitts creek and taylor swift",2,"positive"
"1313928310158622720",2020-10-07,"sooo apparently my mom was watching schitt’s creek this morning and discovered she owns this top twyla is wearing!!! i hope my mom knows it’s mine now 🥰 https://t.co/UIhuh2SohR",62,0,"NA",NA,NA,NA,"en",NA,NA,"sooo apparently my mom was watching schitts creek this morning and discovered she owns this top twyla is wearing i hope my mom knows its mine now 🥰 ",4,"positive"
"1314989631847321602",2020-10-10,"hey if anyone in the schitt’s creek fandom feels like helping me with an act of kindness pls shoot me a message. it would involve money but i’m not sure how much",0,0,"NA",NA,NA,NA,"en",NA,NA,"hey if anyone in the schitts creek fandom feels like helping me with an act of kindness pls shoot me a message it would involve money but im not sure how much",1,"positive"
"1313566492655378432",2020-10-06,"i want to buy a schitt’s creek facemask but i need to Stop",6,0,"NA",NA,NA,NA,"en",NA,NA,"i want to buy a schitts creek facemask but i need to Stop",-1,"negative"
"1313327720680415232",2020-10-06,"top 5 otps? — david/patrick and i literally don’t know anyone else besides my constant rotation of other schitt’s creek ships https://t.co/sc5Qjp1arq",1,0,"NA",NA,NA,NA,"en",NA,NA,"top  otps  davidpatrick and i literally dont know anyone else besides my constant rotation of other schitts creek ships ",2,"positive"
"1315338077896732672",2020-10-11,"in the back of mind i probably knew since high school i was bisexual but i pushed it aside and never dealt with it because it was Big and Scary. but watching schitt’s creek, i saw a happy ending. it made me feel safe enough to accept myself #NationalComingOutDay https://t.co/znCZBl2ehD https://t.co/z2ePVL2HS3",13,1,"NationalComingOutDay",NA,NA,NA,"en",NA,NA,"in the back of mind i probably knew since high school i was bisexual but i pushed it aside and never dealt with it because it was Big and Scary but watching schitts creek i saw a happy ending it made me feel safe enough to accept myself NationalComingOutDay ",3,"positive"
"1315086345912619008",2020-10-11,"@jacobkschneider @kayleighmcenany I doubt she’d enjoy watching positive portrayals of gay relationships.Every single actor on Schitt’s Creek HATES Trump. They are repulsed by him and his minions. You guys suck! On the wrong side of history. For now 😜👏🏼🤣",1,0,"NA",NA,NA,NA,"en",NA,NA,"jacobkschneider kayleighmcenany I doubt shed enjoy watching positive portrayals of gay relationshipsEvery single actor on Schitts Creek HATES Trump They are repulsed by him and his minions You guys suck On the wrong side of history For now 🏼🤣",-6,"negative"
"1315126251242377221",2020-10-11,"The context for that remark was that she gave up on Schitt’s Creek after half an episode after deciding it was boring and was initially similarly uninterested in The Mandalorian (although she changed her mind as that went on)",9,0,"NA",NA,NA,NA,"en",NA,NA,"The context for that remark was that she gave up on Schitts Creek after half an episode after deciding it was boring and was initially similarly uninterested in The Mandalorian although she changed her mind as that went on",-2,"negative"
"1315125958148587521",2020-10-11,"Still laughing about my mom referring to The Mandalorian as “Schitt’s Creek with costumes”",41,3,"NA",NA,NA,NA,"en",NA,NA,"Still laughing about my mom referring to The Mandalorian as Schitts Creek with costumes",1,"positive"
"1315344327523139584",2020-10-11,"please reply w your favorite episode of schitt’s creek i think i have an idea",7,0,"NA",NA,NA,NA,"en",NA,NA,"please reply w your favorite episode of schitts creek i think i have an idea",2,"positive"
"1313988916442279936",2020-10-07,"OKAY SO IF YOU HAD TO PICK A TV SHOW TO WATCH FOR THE REST OF UR LIFE WHAT WOULD YOU CHOOSE — okay honestly i love sooo many shows but recently it's just SCHITT'S CREEK https://t.co/PkeaxU9Out",5,0,"NA",NA,NA,NA,"en",NA,NA,"OKAY SO IF YOU HAD TO PICK A TV SHOW TO WATCH FOR THE REST OF UR LIFE WHAT WOULD YOU CHOOSE  okay honestly i love sooo many shows but recently its just SCHITTS CREEK ",3,"positive"
"1313566861913714689",2020-10-06,"@schwifts thankful i am Broke because i’ve seen at least 5 schitt’s creek masks i absolutely do not Need but Want. a lack of funds will do when a lack of self control won’t",0,0,"NA",NA,NA,NA,"en",NA,NA,"schwifts thankful i am Broke because ive seen at least  schitts creek masks i absolutely do not Need but Want a lack of funds will do when a lack of self control wont",-2,"negative"
"1313935334569320450",2020-10-07,"so true Schitt’s Creek Zodiac Article https://t.co/gSb9mq7P6T",1,0,"NA",NA,NA,NA,"en",NA,NA,"so true Schitts Creek Zodiac Article ",2,"positive"
"1315138612170760193",2020-10-11,"hi yes i changed my @ to better reflect my love of both Greek Mythology and Schitt’s Creek i am officially entering a New Era https://t.co/1zF54UMF2I",4,0,"NA",NA,NA,NA,"en",NA,NA,"hi yes i changed my  to better reflect my love of both Greek Mythology and Schitts Creek i am officially entering a New Era ",3,"positive"
"1314093103104643073",2020-10-08,"i just felt a lot of my own insecurities got acknowledged in that first episode and it was incredibly validating. @danjlevy has a habit of making us all feel seen in some way, and that was the first moment i knew Schitt’s Creek wasn’t “just another sitcom”. 
thanks Dan 💛",3,0,"NA",NA,NA,NA,"en",NA,NA,"i just felt a lot of my own insecurities got acknowledged in that first episode and it was incredibly validating danjlevy has a habit of making us all feel seen in some way and that was the first moment i knew Schitts Creek wasnt just another sitcom thanks Dan ",1,"positive"
"1313580741880672256",2020-10-06,"the sexual tension between me and changing my @ to be something reflective of both my love of Schitt’s Creek and the classics/mythology",0,0,"NA",NA,NA,NA,"en",NA,NA,"the sexual tension between me and changing my  to be something reflective of both my love of Schitts Creek and the classicsmythology",2,"positive"
"1314940614778253312",2020-10-10,"“what is it you love the most about Schitt’s Creek?” https://t.co/c6mJ9aArFH",62,14,"NA",NA,NA,NA,"en",NA,NA,"what is it you love the most about Schitts Creek ",3,"positive"
"1314658834372325379",2020-10-09,"I am obsessed with Schitt’s Creek lmao",5,0,"NA",NA,NA,NA,"en",NA,NA,"I am obsessed with Schitts Creek lmao",4,"positive"
"1314110301198000129",2020-10-08,"Schitt's Creek creator attacks kiss 'censorship' https://t.co/BkvOq397sh",0,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek creator attacks kiss censorship ",1,"positive"
"1313657113529315328",2020-10-07,"Why everyone hate Roland in Schitt's Creek. #SchittsCreek",0,0,"SchittsCreek",NA,NA,NA,"en",NA,NA,"Why everyone hate Roland in Schitts Creek SchittsCreek",-3,"negative"
"1313828530510278656",2020-10-07,"imma need for everyone in Schitt's creek to stop being pretty and hot 😭😭😭 https://t.co/GWQyqdiepL",4,3,"NA",NA,NA,NA,"en",NA,NA,"imma need for everyone in Schitts creek to stop being pretty and hot  ",0,"neutral"
"1312980181682798593",2020-10-05,"my cousin is watching schitt’s creek and he’s up to season 4 i’m so proud of him",3,0,"NA",NA,NA,NA,"en",NA,NA,"my cousin is watching schitts creek and hes up to season  im so proud of him",2,"positive"
"1313872233941458946",2020-10-07,"popstar: never stop never stopping, schitt’s creek, zoo by james patterson, vanilla ice cream, run away by ben platt https://t.co/XsjpkbdJYv",2,0,"NA",NA,NA,NA,"en",NA,NA,"popstar never stop never stopping schitts creek zoo by james patterson vanilla ice cream run away by ben platt ",-2,"negative"
"1313321739225427969",2020-10-06,"@twylascnds how the fuck does one get schitt’s creek mutuals",1,0,"NA",NA,NA,NA,"en",NA,NA,"twylascnds how the fuck does one get schitts creek mutuals",-4,"negative"
"1313445302456602627",2020-10-06,"schitt’s creek is on after this and i just think that’s super sexy",1,0,"NA",NA,NA,NA,"en",NA,NA,"schitts creek is on after this and i just think thats super sexy",6,"positive"
"1315247697033523201",2020-10-11,"@stcviebudd anyway i’m very bored too let’s talk about schitt’s creek 👍",0,0,"NA",NA,NA,NA,"en",NA,NA,"stcviebudd anyway im very bored too lets talk about schitts creek ",-2,"negative"
"1314221262638510080",2020-10-08,"she’s finally gonna watch schitt’s creek i have won https://t.co/2HU5B7z8oZ",1,0,"NA",NA,NA,NA,"en",NA,NA,"shes finally gonna watch schitts creek i have won ",4,"positive"
"1314378303965401088",2020-10-09,"prestem atenção se falarem mal de schitt's creek vão estar falando mal de mim qualquer insulto a essa série é altamente proibida se eu ver é block e e ainda denúncio a conta",2,1,"NA",NA,NA,NA,"pt",NA,NA,"prestem atenção se falarem mal de schitts creek vão estar falando mal de mim qualquer insulto a essa série é altamente proibida se eu ver é block e e ainda denúncio a conta",-1,"negative"
"1314913526465662976",2020-10-10,"@anne_theriault I think that’s why I keep watching “Schitt’s Creek” on repeat. It’s so good, but it makes me so happy. It’s not at all stressful, quite the opposite.",0,0,"NA",NA,NA,NA,"en",NA,NA,"annetheriault I think thats why I keep watching Schitts Creek on repeat Its so good but it makes me so happy Its not at all stressful quite the opposite",3,"positive"
"1313551246154887168",2020-10-06,"So finally started Schitt's Creek, it's really funny. 😂 A must watch",0,0,"NA",NA,NA,NA,"en",NA,NA,"So finally started Schitts Creek its really funny  A must watch",4,"positive"
"1314175728347312128",2020-10-08,"@DrBlackVelvet Your thoughts about Schitt’s Creek are why I’m willing to give Cobra Kai a chance.",0,0,"NA",NA,NA,NA,"en",NA,NA,"DrBlackVelvet Your thoughts about Schitts Creek are why Im willing to give Cobra Kai a chance",2,"positive"
"1314354052365393920",2020-10-08,"@dylan_buckley @StanAustralia Watch Schitt’s Creek on Netflix and forget all about Yellowstone.",1,0,"NA",NA,NA,NA,"en",NA,NA,"dylanbuckley StanAustralia Watch Schitts Creek on Netflix and forget all about Yellowstone",-1,"negative"
"1314192162809163777",2020-10-08,"'Schitt's Creek' actor Dan Levy slams Comedy Central India for censoring gay kiss scene - IANS https://t.co/77SIUMpHuY via @gayindia https://t.co/csiCAnBSIU",1,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek actor Dan Levy slams Comedy Central India for censoring gay kiss scene  IANS ",-1,"negative"
"1315369859732119555",2020-10-11,"Schitt's Creek star Dan Levy calls out Comedy Central India for censoring same-sex kiss - Alberta Daily Herald Tribune https://t.co/ReGC1z6rFU via @gayindia https://t.co/DddxavIf8d",0,0,"NA",NA,NA,NA,"en",NA,NA,"Schitts Creek star Dan Levy calls out Comedy Central India for censoring samesex kiss  Alberta Daily Herald Tribune ",1,"positive"
"1314101539385077760",2020-10-08,"TV News | ⚡Schitt’s Creek Actor Dan Levy Slams Comedy Central India for Censoring a Gay Kissing Scene - LatestLY https://t.co/q8Jls2PMo3 via @gayindia https://t.co/VCMAzKor81",6,1,"NA",NA,NA,NA,"en",NA,NA,"TV News  ⚡Schitts Creek Actor Dan Levy Slams Comedy Central India for Censoring a Gay Kissing Scene  LatestLY ",-1,"negative"
"1315379151013019649",2020-10-11,"Throw on a Wig, Gather the Jazzagals, and Compete With Other Super Fans in a Round of Schitt's Creek Trivia https://t.co/7DfjemWTd3",0,0,"NA",NA,NA,NA,"en",NA,NA,"Throw on a Wig Gather the Jazzagals and Compete With Other Super Fans in a Round of Schitts Creek Trivia ",6,"positive"
"1315027403245314048",2020-10-10,"‘Schitt’s Creek’ Star Dan Levy Blasts Comedy Central Over Gay Kiss Censorship 

READ MORE: https://t.co/sLZ8OfdFM3

#1A #Audio #China #FakeNews #FirstAmendment #FreeSpeech #FreedomOfExpression #FreedomOfThePress #GagOrder #Google* https://t.co/v0SNzFklMJ",0,1,"c(""1A""","""Audio""","""China""","""FakeNews""","en",NA,NA,"Schitts Creek Star Dan Levy Blasts Comedy Central Over Gay Kiss Censorship READ MORE ",3,"positive"
"1313937058327662595",2020-10-07,"‘Schitt’s Creek’ star Dan Levy slams Comedy Central India for censorship of gay kiss: It makes a ‘harmful statement’ 

READ MORE: https://t.co/oMnYJEQRm9

#1A #Audio #China #FakeNews #FirstAmendment #FreeSpeech #FreedomOfExpression #FreedomOfThePress #GagOrder #Google https://t.co/uQ4boW1uzr",2,0,"c(""1A""","""Audio""","""China""","""FakeNews""","en",NA,NA,"Schitts Creek star Dan Levy slams Comedy Central India for censorship of gay kiss It makes a harmful statement READ MORE ",-1,"negative"
